SongID,artist_name,track_name,release_date,genre,lyrics,length ,topic
1,etta james,only women bleed,1978,blues,woman seed power need spend life please feed dinner cry night smoke drink come home women bleed women bleed women bleed make hair life mistake lookin break lie right know hate game slap live pain cry night smoke drink come home women bleed women bleed women bleed women bleed women bleed women bleed women bleed black eye time spend dime clean grime knees beg come watch bleed women bleed women bleed women bleed women bleed women bleed women bleed women bleed,81,violence
2,goth babe,sometimes,2018,rock,shin ignore time want heart backwards spend days dream stand tall wonder clue wanna know think lyric commercial,18,world/life
3,social distortion,don't drag me down,1996,pop,children teach hate parent couldn poor suffer ashamed felt society begin watch things change turn turn turn turn drag ignorance like hand reach promise land history book lie mediablitz gonna eye afraid felt society begin watch things change turn turn turn turn drag ignorance like hand reach promise land history book lie mediablitz gonna eye eighteen wanna granddaddy klux klan take step foward step gonna white house paint black turn turn turn turn drag,74,violence
4,joe bataan,more love,1969,jazz,wish bluebirds spring heart song sing kiss wish july lemonade cool aome leafy glade wish health wealth wish break heart agree best best free wish shelter cozy warm snowflakes fall wish girl wanna wish girl,35,sadness
5,widespread panic,radio child,1996,blues,radio child quicktosmile precious baby search dial electrify drive tight little corner mirror radio boys try move spare change testify radio play sleep prophet wait worlds whisper mind radio child rhyme cheat keep time eye stretch star life radio child radio laugh like friends tell joke folks know like guitar play lullaby radio cradle dream prophet wait worlds whisper mind radio child rhyme chat keep time eye search star life radio child yeah radio child precious baby precious baby,79,music
6,russ,pull the trigger,2017,pop,yeah pull trigger gonna pull trigger maybe pull fuckin trigger pull trigger gonna pull trigger hesitate shoot yeah believin propaganda everybody sound like wanna voice echo nail hammer talkin chewin beat mind manners chorus opera need phantoms doubt point need ransom handsome girl money honestly think twenties cool happenin girl want cross rout like young kaepernick treat money like lateral passin cause family number number tryna house cash time time cry cause know time lose cause know lose time shoot shots cause know shoot pull trigger gonna pull trigger hesitate shoot stay winnin believe luck believe life buffet better see know bout blow felt like employee felt like stack shoe clock yeah walk walk tribute headspace lately devil spanish chicks lace brujeria days like months fall probably saudi chick head high middle finger higher pull trigger gonna pull trigger hesitate shoot pull trigger gonna pull trigger hesitate shoot,148,obscene
7,steely dan,any world (that i'm welcome to),1975,blues,lifetime quit ride train nighttime ready feet touch grind come folks world welcome world welcome world welcome better come hear word speak see hand reach shin daydream days nights capture picture frame world welcome world world welcome talk bout world world welcome better come thing inside place hide know obey feel explain away think watch children play head heart say vision child return kingdom burn world welcome world welcome talk bout world world welcome better come better come better come world welcome world welcome world welcome world,87,world/life
8,fuel,hemorrhage (in my hands),2000,pop,memories lay drag water depths dead expect leave remember say say fall away leave fall away leave bleed hand hand leave bleed hand hand lie bleed lyric commercial,28,violence
9,the green,good vibration,2011,reggae,good vibration light good vibration yeah good good good vibration vibration vibration travel long know islands good meditation cause good vibration turn situation fine afternoon good vibration good feel good vibration good feel listen listen gonna cause like like bring people throw grenades yeah target time good vibes people care care things try bring know good vibration good feel good vibration good feel want place like plus sun shine light universally wanna long need ready escape kind thing drive alive good vibration good feel good vibration good feel,88,feelings
10,joe pass,but beautiful,1997,jazz,fuuucked brand beautiful view feelin greaaaaat like bout schedule look gotta smoke drink fuck bitch yeah truuuu chase dream get cream want fuck scream think shit extraordinary basic nuttin face bitch seamen maybe shoot blank bitch like river flow fact spread legs class jump jack rid round deep represent feelin great fuck know rhyme enjoy hate jealousy keep winter cold flow summer flip flop hold beat hostage fuck toss lose write boss shit stop till boston mean till boston start countries world stuff hahaha,84,obscene
11,takuya kuroda,everybody loves the sunshine,2014,jazz,life life life life everybody love folks everybody love folks get yeah yeah yeah be things flower be things flower be things flower be things flower life life life life everybody love folks get everybody love everybody everybody folks get folks get yeah yeah yeah feel feel feel feel feel feel feel feel feel feel feel feel feel feel feel feel feel feel yeah yeah feel feel feel feel feel feel feel feel feel feel feel feel feel feel feel feel feel feel be things flower be things flower be things flower be things flower life life life life yeah everybody love folks get everybody love folks get yeah yeah yeah ooohh,112,feelings
